LastName,FirstName,Gender,Country,Date,Round,Apparatus,Rank,Score
AAS,FREDRIK,m,NOR,23-26 Feb 2023,qual,HB,39,11.3
AAS,FREDRIK,m,NOR,23-26 Feb 2023,qual,PH,44,12.2
AAS,FREDRIK BJORNEVIK,m,NOR,1-5 Aug 2023,qual,FX,54,12.566
AAS,FREDRIK BJORNEVIK,m,NOR,1-5 Aug 2023,qual,HB,44,12.766
AAS,FREDRIK BJORNEVIK,m,NOR,1-5 Aug 2023,qual,PB,54,12.466
AAS,FREDRIK BJORNEVIK,m,NOR,1-5 Aug 2023,qual,PH,58,11.666
AAS,FREDRIK BJORNEVIK,m,NOR,1-5 Aug 2023,qual,SR,73,11.866
AAS,FREDRIK BJORNEVIK,m,NOR,1-5 Aug 2023,qual,VT,69,12.966
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,AAfinal,FX,13,13.8
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,qual,FX,48,13.4
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,AAfinal,HB,10,13.433
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,qual,HB,48,13.166
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,AAfinal,PB,12,14.2
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,qual,PB,26,14.3
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,AAfinal,PH,21,11.266
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,qual,PH,55,12.766
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,AAfinal,SR,12,13.233
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,qual,SR,90,12.566
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,AAfinal,VT,20,13.733
ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,qual,VT,97,13.5
ABAD,NESTOR,m,ESP,18-21 Aug 2022,qual,FX,86,12.433
ABAD,NESTOR,m,ESP,18-21 Aug 2022,qual,HB,10,13.8
ABAD,NESTOR,m,ESP,18-21 Aug 2022,TeamFinal,HB,10,13.4
ABAD,NESTOR,m,ESP,18-21 Aug 2022,qual,PB,9,14.4
ABAD,NESTOR,m,ESP,18-21 Aug 2022,TeamFinal,PB,10,14.066
ABAD,NESTOR,m,ESP,18-21 Aug 2022,qual,PH,105,10.5
ABAD,NESTOR,m,ESP,18-21 Aug 2022,qual,SR,23,13.666
ABAD,NESTOR,m,ESP,18-21 Aug 2022,TeamFinal,SR,6,13.633
ABAD,NESTOR,m,ESP,18-21 Aug 2022,qual,VT,36,14.1
ABAD,NESTOR,m,ESP,11-16 Apr 2023,AAfinal,FX,24,12.633
ABAD,NESTOR,m,ESP,11-16 Apr 2023,qual,FX,94,12.5
ABAD,NESTOR,m,ESP,11-16 Apr 2023,AAfinal,HB,9,13.4
ABAD,NESTOR,m,ESP,11-16 Apr 2023,final,HB,4,13.666
ABAD,NESTOR,m,ESP,11-16 Apr 2023,qual,HB,5,13.733
ABAD,NESTOR,m,ESP,11-16 Apr 2023,AAfinal,PB,10,13.833
ABAD,NESTOR,m,ESP,11-16 Apr 2023,qual,PB,23,13.9
ABAD,NESTOR,m,ESP,11-16 Apr 2023,AAfinal,PH,12,13
ABAD,NESTOR,m,ESP,11-16 Apr 2023,qual,PH,28,13.233
ABAD,NESTOR,m,ESP,11-16 Apr 2023,qual,SR,17,13.766
ABAD,NESTOR,m,ESP,11-16 Apr 2023,AAfinal,SR,4,13.666
ABAD,NESTOR,m,ESP,11-16 Apr 2023,AAfinal,VT,22,13
ABAD,NESTOR,m,ESP,11-16 Apr 2023,qual,VT,69,13.7
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,AAfinal,FX,17,13.566
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,qual,FX,34,13.666
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,AAfinal,HB,24,9.9
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,qual,HB,27,13.6
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,AAfinal,PB,20,13.066
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,qual,PB,52,13.7
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,AAfinal,PH,7,13.666
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,qual,PH,15,13.966
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,AAfinal,SR,13,13.166
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,qual,SR,60,13
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,AAfinal,VT,18,13.866
ABBADINI,YUMIN,m,ITA,29 Oct 2022 - 6 Nov 2022,qual,VT,84,13.6
ABBADINI,YUMIN,m,ITA,18-21 Aug 2022,qual,FX,19,13.833
ABBADINI,YUMIN,m,ITA,18-21 Aug 2022,qual,HB,11,13.8
ABBADINI,YUMIN,m,ITA,18-21 Aug 2022,TeamFinal,HB,6,13.766
ABBADINI,YUMIN,m,ITA,18-21 Aug 2022,qual,PB,91,12.033
ABBADINI,YUMIN,m,ITA,18-21 Aug 2022,qual,PH,61,12.533
ABBADINI,YUMIN,m,ITA,18-21 Aug 2022,TeamFinal,PH,5,13.833
ABBADINI,YUMIN,m,ITA,18-21 Aug 2022,TeamFinal,SR,13,13.366
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,AAfinal,FX,11,13.766
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,qual,FX,11,13.966
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,AAfinal,HB,4,13.466
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,qual,HB,90,12.133
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,AAfinal,PB,8,14
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,qual,PB,40,13.5
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,AAfinal,PH,1,14.1
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,final,PH,6,14.166
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,qual,PH,6,14.266
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,qual,SR,26,13.5
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,AAfinal,SR,10,13.266
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,AAfinal,VT,18,13.566
ABBADINI,YUMIN,m,ITA,11-16 Apr 2023,qual,VT,64,13.733
ABBADINI,YUMIN,m,ITA,9-12 Mar 2023,qual,FX,11,13.533
