LastName,FirstName,Gender,Country,Date,Round,Apparatus,Rank,Score
ABDELSALAM,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,qual,BB,100,11
ABDELSALAM,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,qual,FX,109,11.766
ABDELSALAM,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,qual,UB,52,12.8
ABDELSALAM,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,qual,VT,110,12.333
ABDELSALAM,JANA,w,EGY,9-12 Mar 2023,qual,BB,22,11.533
ABDELSALAM,JANA,w,EGY,27-30 Apr 2023,final,BB,8,11.366
ABDELSALAM,JANA,w,EGY,27-30 Apr 2023,qual,BB,9,12.166
ABDELSALAM,JANA,w,EGY,1-4 Mar 2023,final,BB,4,13
ABDELSALAM,JANA,w,EGY,1-4 Mar 2023,qual,BB,6,12.933
ABDELSALAM,JANA,w,EGY,9-12 Mar 2023,qual,FX,22,11.866
ABDELSALAM,JANA,w,EGY,27-30 Apr 2023,qual,UB,29,10.766
ABDELSALAM,JANA,w,EGY,1-4 Mar 2023,qual,UB,21,9.333
ABDULLAHI,AYESHA,w,GBR,24-27 Mar 2022,qual,BB,41,10.2
ABDULLAHI,AYESHA,w,GBR,24-27 Mar 2022,qual,UB,45,10.2
ABEYRATNE,KUMUDI IMANYA,w,SRI,29 Jul-2 Aug 2022,qual,BB,36,9.1
ABEYRATNE,KUMUDI IMANYA,w,SRI,29 Jul-2 Aug 2022,qual,FX,39,7.35
ABEYRATNE,KUMUDI IMANYA,w,SRI,29 Jul-2 Aug 2022,qual,UB,39,5.5
ABOELHASAN,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,qual,BB,116,10.5
ABOELHASAN,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,qual,FX,74,12.266
ABOELHASAN,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,qual,UB,113,10.9
ABOELHASAN,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,qual,VT,138,11.6
