"","LastName","FirstName","Gender","Competition","Country","Date","Round","Apparatus","Rank","Score","Location"
"1","AAS","FREDRIK","m","2022 Cottbus World Cup","NOR","24-27 Feb 2022","qual","HB",18,12.166,"Cottbus, Germany"
"2","AAS","FREDRIK","m","2022 Cottbus World Cup","NOR","24-27 Feb 2022","qual","PB",23,10.8,"Cottbus, Germany"
"3","AAS","FREDRIK","m","2022 Cottbus World Cup","NOR","24-27 Feb 2022","qual","PH",33,10.866,"Cottbus, Germany"
"4","AAS","FREDRIK","m","2023 Cottbus World Cup","NOR","23-26 Feb 2023","qual","HB",39,11.3,"Cottbus, Germany"
"5","AAS","FREDRIK","m","2023 Cottbus World Cup","NOR","23-26 Feb 2023","qual","PH",44,12.2,"Cottbus, Germany"
"6","AAS","FREDRIK","m","2023 FISU World University Games","NOR","1-5 Aug 2023","qual","FX",54,12.566,"Chengdu, China"
"7","AAS","FREDRIK","m","2023 FISU World University Games","NOR","1-5 Aug 2023","qual","HB",44,12.766,"Chengdu, China"
"8","AAS","FREDRIK","m","2023 FISU World University Games","NOR","1-5 Aug 2023","qual","PB",54,12.466,"Chengdu, China"
"9","AAS","FREDRIK","m","2023 FISU World University Games","NOR","1-5 Aug 2023","qual","PH",58,11.666,"Chengdu, China"
"10","AAS","FREDRIK","m","2023 FISU World University Games","NOR","1-5 Aug 2023","qual","SR",73,11.866,"Chengdu, China"
"11","AAS","FREDRIK","m","2023 FISU World University Games","NOR","1-5 Aug 2023","qual","VT",69,12.966,"Chengdu, China"
"12","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","AAfinal","FX",13,13.8,"Liverpool, England"
"13","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","qual","FX",48,13.4,"Liverpool, England"
"14","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","AAfinal","HB",10,13.433,"Liverpool, England"
"15","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","qual","HB",48,13.166,"Liverpool, England"
"16","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","TeamFinal","HB",NA,13.133,"Liverpool, England"
"17","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","AAfinal","PB",12,14.2,"Liverpool, England"
"18","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","qual","PB",26,14.3,"Liverpool, England"
"19","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","AAfinal","PH",21,11.266,"Liverpool, England"
"20","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","qual","PH",55,12.766,"Liverpool, England"
"21","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","TeamFinal","PH",NA,11.633,"Liverpool, England"
"22","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","AAfinal","SR",12,13.233,"Liverpool, England"
"23","ABAD","NESTOR","m","2022 51st FIG Artistic Gymnastics World Championships","ESP","29 Oct 2022 - 6 Nov 2022","qual","SR",90,12.566,"Liverpool, England"
