"","LastName","FirstName","Gender","Competition","Country","Date","Round","Apparatus","Rank","Score","Location"
"1","ABDELSALAM","JANA","w","2022 51st FIG Artistic Gymnastics World Championships","EGY","29 Oct 2022 - 6 Nov 2022","qual","BB",100,11,"Liverpool, England"
"2","ABDELSALAM","JANA","w","2022 51st FIG Artistic Gymnastics World Championships","EGY","29 Oct 2022 - 6 Nov 2022","qual","FX",109,11.766,"Liverpool, England"
"3","ABDELSALAM","JANA","w","2022 51st FIG Artistic Gymnastics World Championships","EGY","29 Oct 2022 - 6 Nov 2022","qual","UB",52,12.8,"Liverpool, England"
"4","ABDELSALAM","JANA","w","2022 51st FIG Artistic Gymnastics World Championships","EGY","29 Oct 2022 - 6 Nov 2022","qual","VT",110,12.333,"Liverpool, England"
"5","ABDELSALAM","JANA","w","2022 Cairo World Cup","EGY","17-20 Mar 2022","qual","BB",14,10.766,"Cairo, Egypt"
"6","ABDELSALAM","JANA","w","2022 Cairo World Cup","EGY","17-20 Mar 2022","final","UB",6,10.866,"Cairo, Egypt"
"7","ABDELSALAM","JANA","w","2022 Cairo World Cup","EGY","17-20 Mar 2022","qual","UB",7,11.233,"Cairo, Egypt"
"8","ABDELSALAM","JANA","w","2022 Paris World Challenge Cup","EGY","24-25 Sept 2022","qual","FX",24,11,"Paris, France"
"9","ABDELSALAM","JANA","w","2022 Paris World Challenge Cup","EGY","24-25 Sept 2022","qual","UB",14,12.2,"Paris, France"
"10","ABDELSALAM","JANA","w","2023 52nd FIG Artistic Gymnastics World Championships","EGY","30 Sep 2023 - 8 Oct 2023","qual","BB",144,10.666,"Antwerp, Belgium"
"11","ABDELSALAM","JANA","w","2023 52nd FIG Artistic Gymnastics World Championships","EGY","30 Sep 2023 - 8 Oct 2023","qual","FX",131,11.4,"Antwerp, Belgium"
"12","ABDELSALAM","JANA","w","2023 52nd FIG Artistic Gymnastics World Championships","EGY","30 Sep 2023 - 8 Oct 2023","qual","UB",152,8.233,"Antwerp, Belgium"
"13","ABDELSALAM","JANA","w","2023 52nd FIG Artistic Gymnastics World Championships","EGY","30 Sep 2023 - 8 Oct 2023","qual","VT",131,12.4,"Antwerp, Belgium"
"14","ABDELSALAM","JANA","w","2023 Baku World Cup","EGY","9-12 Mar 2023","qual","BB",22,11.533,"Baku, Azerbaijan"
"15","ABDELSALAM","JANA","w","2023 Baku World Cup","EGY","9-12 Mar 2023","qual","FX",22,11.866,"Baku, Azerbaijan"
"16","ABDELSALAM","JANA","w","2023 Cairo World Cup","EGY","27-30 Apr 2023","final","BB",8,11.366,"Cairo, Egypt"
"17","ABDELSALAM","JANA","w","2023 Cairo World Cup","EGY","27-30 Apr 2023","qual","BB",9,12.166,"Cairo, Egypt"
"18","ABDELSALAM","JANA","w","2023 Cairo World Cup","EGY","27-30 Apr 2023","qual","UB",29,10.766,"Cairo, Egypt"
"19","ABDELSALAM","JANA","w","2023 Doha World Cup","EGY","1-4 Mar 2023","final","BB",4,13,"Doha, Qatar"
"20","ABDELSALAM","JANA","w","2023 Doha World Cup","EGY","1-4 Mar 2023","qual","BB",6,12.933,"Doha, Qatar"
"21","ABDELSALAM","JANA","w","2023 Doha World Cup","EGY","1-4 Mar 2023","qual","UB",21,9.333,"Doha, Qatar"
"22","ABDULLAHI","AYESHA","w","2022 British Gymnastics Championships","GBR","24-27 Mar 2022","qual","BB",41,10.2,"Liverpool, England"
"23","ABDULLAHI","AYESHA","w","2022 British Gymnastics Championships","GBR","24-27 Mar 2022","qual","UB",45,10.2,"Liverpool, England"
"24","ABEYRATNE","KUMUDI IMANYA","w","BIRMINGHAM 2022 Commonwealth Games","SRI","29 Jul-2 Aug 2022","qual","BB",36,9.1,"Birmingham, England"
"25","ABEYRATNE","KUMUDI IMANYA","w","BIRMINGHAM 2022 Commonwealth Games","SRI","29 Jul-2 Aug 2022","qual","FX",39,7.35,"Birmingham, England"
"26","ABEYRATNE","KUMUDI IMANYA","w","BIRMINGHAM 2022 Commonwealth Games","SRI","29 Jul-2 Aug 2022","qual","UB",39,5.5,"Birmingham, England"
"27","ABOELHASAN","JANA","w","2022 51st FIG Artistic Gymnastics World Championships","EGY","29 Oct 2022 - 6 Nov 2022","qual","BB",116,10.5,"Liverpool, England"
"28","ABOELHASAN","JANA","w","2022 51st FIG Artistic Gymnastics World Championships","EGY","29 Oct 2022 - 6 Nov 2022","qual","FX",74,12.266,"Liverpool, England"
"29","ABOELHASAN","JANA","w","2022 51st FIG Artistic Gymnastics World Championships","EGY","29 Oct 2022 - 6 Nov 2022","qual","UB",113,10.9,"Liverpool, England"
"30","ABOELHASAN","JANA","w","2022 51st FIG Artistic Gymnastics World Championships","EGY","29 Oct 2022 - 6 Nov 2022","qual","VT",138,11.6,"Liverpool, England"
"31","ABOELHASAN","JANA","w","2022 Paris World Challenge Cup","EGY","24-25 Sept 2022","qual","BB",35,10.5,"Paris, France"
"32","ABOELHASAN","JANA","w","2022 Paris World Challenge Cup","EGY","24-25 Sept 2022","qual","FX",27,10.65,"Paris, France"
"33","ABREU","YAMILET","w","2023 Artistic Gymnastics Senior Pan American Championships","DOM","26-28 May 2023","TeamQual","BB",NA,10.1,"Medellin, Colombia"
"34","ABREU","YAMILET","w","2023 Artistic Gymnastics Senior Pan American Championships","DOM","26-28 May 2023","TeamQual","FX",NA,12.367,"Medellin, Colombia"
"35","ABREU","YAMILET","w","2023 Artistic Gymnastics Senior Pan American Championships","DOM","26-28 May 2023","TeamQual","UB",NA,11.733,"Medellin, Colombia"
"36","ABREU","YAMILET","w","2023 Artistic Gymnastics Senior Pan American Championships","DOM","26-28 May 2023","TeamQual","VT",NA,12.567,"Medellin, Colombia"
"37","ACHAMPONG","ONDINE","w","2022 51st FIG Artistic Gymnastics World Championships","GBR","29 Oct 2022 - 6 Nov 2022","qual","BB",15,12.966,"Liverpool, England"
