,Unnamed: 0,Competition,Country,Round,Apparatus,Rank,Score,Location,days_till_paris,names,rate_of_change,average_apparatus_rank
0,1,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,BB,100.0,11.0,"Liverpool, England",639,JANA ABDELSALAM,-0.00018214936247723068,38.375
1,2,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,FX,109.0,11.766,"Liverpool, England",639,JANA ABDELSALAM,0.0010958904109589051,71.5
2,3,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,UB,52.0,12.8,"Liverpool, England",639,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
3,4,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,VT,110.0,12.333,"Liverpool, England",639,JANA ABDELSALAM,0.0002000000000000005,120.5
4,5,2022 Cairo World Cup,EGY,qual,BB,14.0,10.766,"Cairo, Egypt",853,JANA ABDELSALAM,-0.00018214936247723068,38.375
5,6,2022 Cairo World Cup,EGY,final,UB,6.0,10.866,"Cairo, Egypt",853,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
6,7,2022 Cairo World Cup,EGY,qual,UB,7.0,11.233,"Cairo, Egypt",853,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
7,8,2022 Paris World Challenge Cup,EGY,qual,FX,24.0,11.0,"Paris, France",669,JANA ABDELSALAM,0.0010958904109589051,71.5
8,9,2022 Paris World Challenge Cup,EGY,qual,UB,14.0,12.2,"Paris, France",669,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
9,10,2023 52nd FIG Artistic Gymnastics World Championships,EGY,qual,BB,144.0,10.666,"Antwerp, Belgium",304,JANA ABDELSALAM,-0.00018214936247723068,38.375
10,11,2023 52nd FIG Artistic Gymnastics World Championships,EGY,qual,FX,131.0,11.4,"Antwerp, Belgium",304,JANA ABDELSALAM,0.0010958904109589051,71.5
11,12,2023 52nd FIG Artistic Gymnastics World Championships,EGY,qual,UB,152.0,8.233,"Antwerp, Belgium",304,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
12,13,2023 52nd FIG Artistic Gymnastics World Championships,EGY,qual,VT,131.0,12.4,"Antwerp, Belgium",304,JANA ABDELSALAM,0.0002000000000000005,120.5
13,14,2023 Baku World Cup,EGY,qual,BB,22.0,11.533,"Baku, Azerbaijan",488,JANA ABDELSALAM,-0.00018214936247723068,38.375
14,15,2023 Baku World Cup,EGY,qual,FX,22.0,11.866,"Baku, Azerbaijan",488,JANA ABDELSALAM,0.0010958904109589051,71.5
15,16,2023 Cairo World Cup,EGY,final,BB,8.0,11.366,"Cairo, Egypt",457,JANA ABDELSALAM,-0.00018214936247723068,38.375
16,17,2023 Cairo World Cup,EGY,qual,BB,9.0,12.166,"Cairo, Egypt",457,JANA ABDELSALAM,-0.00018214936247723068,38.375
17,18,2023 Cairo World Cup,EGY,qual,UB,29.0,10.766,"Cairo, Egypt",457,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
18,19,2023 Doha World Cup,EGY,final,BB,4.0,13.0,"Doha, Qatar",488,JANA ABDELSALAM,-0.00018214936247723068,38.375
19,20,2023 Doha World Cup,EGY,qual,BB,6.0,12.933,"Doha, Qatar",488,JANA ABDELSALAM,-0.00018214936247723068,38.375
20,21,2023 Doha World Cup,EGY,qual,UB,21.0,9.333,"Doha, Qatar",488,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
21,22,2022 British Gymnastics Championships,GBR,qual,BB,41.0,10.2,"Liverpool, England",853,AYESHA ABDULLAHI,0,41.0
22,23,2022 British Gymnastics Championships,GBR,qual,UB,45.0,10.2,"Liverpool, England",853,AYESHA ABDULLAHI,0,45.0
23,24,BIRMINGHAM 2022 Commonwealth Games,SRI,qual,BB,36.0,9.1,"Birmingham, England",731,KUMUDI IMANYA ABEYRATNE,0,36.0
24,25,BIRMINGHAM 2022 Commonwealth Games,SRI,qual,FX,39.0,7.35,"Birmingham, England",731,KUMUDI IMANYA ABEYRATNE,0,39.0
