,Unnamed: 0,Competition,Country,Round,Apparatus,Rank,Score,Location,days_till_paris,names,rate_of_change,average_apparatus_rank
0,1,2022 Cottbus World Cup,NOR,qual,HB,18.0,12.166,"Cottbus, Germany",881,FREDRIK AAS,0.0010989010989010982,33.666666666666664
1,2,2022 Cottbus World Cup,NOR,qual,PB,23.0,10.8,"Cottbus, Germany",881,FREDRIK AAS,0.0030512820512820487,38.5
2,3,2022 Cottbus World Cup,NOR,qual,PH,33.0,10.866,"Cottbus, Germany",881,FREDRIK AAS,0.0014652014652014665,45.0
3,4,2023 Cottbus World Cup,NOR,qual,HB,39.0,11.3,"Cottbus, Germany",516,FREDRIK AAS,0.0010989010989010982,33.666666666666664
4,5,2023 Cottbus World Cup,NOR,qual,PH,44.0,12.2,"Cottbus, Germany",516,FREDRIK AAS,0.0014652014652014665,45.0
5,6,2023 FISU World University Games,NOR,qual,FX,54.0,12.566,"Chengdu, China",335,FREDRIK AAS,0,54.0
6,7,2023 FISU World University Games,NOR,qual,HB,44.0,12.766,"Chengdu, China",335,FREDRIK AAS,0.0010989010989010982,33.666666666666664
7,8,2023 FISU World University Games,NOR,qual,PB,54.0,12.466,"Chengdu, China",335,FREDRIK AAS,0.0030512820512820487,38.5
8,9,2023 FISU World University Games,NOR,qual,PH,58.0,11.666,"Chengdu, China",335,FREDRIK AAS,0.0014652014652014665,45.0
9,10,2023 FISU World University Games,NOR,qual,SR,73.0,11.866,"Chengdu, China",335,FREDRIK AAS,0,73.0
10,11,2023 FISU World University Games,NOR,qual,VT,69.0,12.966,"Chengdu, China",335,FREDRIK AAS,0,69.0
11,12,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,FX,13.0,13.8,"Liverpool, England",639,NESTOR ABAD,0.004376262626262627,47.666666666666664
12,13,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,FX,48.0,13.4,"Liverpool, England",639,NESTOR ABAD,0.004376262626262627,47.666666666666664
13,14,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,HB,10.0,13.433,"Liverpool, England",639,NESTOR ABAD,-0.00193686868686869,0.0
14,15,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,HB,48.0,13.166,"Liverpool, England",639,NESTOR ABAD,-0.00193686868686869,0.0
15,16,2022 51st FIG Artistic Gymnastics World Championships,ESP,TeamFinal,HB,,13.133,"Liverpool, England",639,NESTOR ABAD,-0.00193686868686869,0.0
16,17,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,PB,12.0,14.2,"Liverpool, England",639,NESTOR ABAD,-0.0015151515151515143,21.285714285714285
17,18,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,PB,26.0,14.3,"Liverpool, England",639,NESTOR ABAD,-0.0015151515151515143,21.285714285714285
18,19,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,PH,21.0,11.266,"Liverpool, England",639,NESTOR ABAD,0.006565656565656565,0.0
19,20,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,PH,55.0,12.766,"Liverpool, England",639,NESTOR ABAD,0.006565656565656565,0.0
20,21,2022 51st FIG Artistic Gymnastics World Championships,ESP,TeamFinal,PH,,11.633,"Liverpool, England",639,NESTOR ABAD,0.006565656565656565,0.0
21,22,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,SR,12.0,13.233,"Liverpool, England",639,NESTOR ABAD,-0.0001666666666666685,0.0
22,23,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,SR,90.0,12.566,"Liverpool, England",639,NESTOR ABAD,-0.0001666666666666685,0.0
23,24,2022 51st FIG Artistic Gymnastics World Championships,ESP,TeamFinal,SR,,13.8,"Liverpool, England",639,NESTOR ABAD,-0.0001666666666666685,0.0
24,25,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,VT,20.0,13.733,"Liverpool, England",639,NESTOR ABAD,-0.0022727272727272735,61.666666666666664
25,26,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,VT,97.0,13.5,"Liverpool, England",639,NESTOR ABAD,-0.0022727272727272735,61.666666666666664
26,27,2022 Senior European Championships,ESP,qual,FX,86.0,12.433,"Munich, Germany",700,NESTOR ABAD,0.004376262626262627,47.666666666666664
