,Unnamed: 0.1,Unnamed: 0,Competition,Country,Round,Apparatus,Rank,Score,Location,days_till_paris,names,rate_of_change,average_apparatus_rank
0,0,1,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,BB,100.0,0.7006369426751593,"Liverpool, England",0.7253121452894438,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
1,1,2,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,FX,109.0,0.7494267515923567,"Liverpool, England",0.7253121452894438,JANA ABDELSALAM,0.009347942089498722,0.4897260273972603
2,2,3,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,UB,52.0,0.8152866242038217,"Liverpool, England",0.7253121452894438,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
3,3,4,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,VT,110.0,0.7855414012738854,"Liverpool, England",0.7253121452894438,JANA ABDELSALAM,0.0017059994313335235,0.8253424657534246
4,4,5,2022 Cairo World Cup,EGY,qual,BB,14.0,0.6857324840764332,"Cairo, Egypt",0.9682179341657208,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
5,5,6,2022 Cairo World Cup,EGY,final,UB,6.0,0.6921019108280255,"Cairo, Egypt",0.9682179341657208,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
6,6,7,2022 Cairo World Cup,EGY,qual,UB,7.0,0.7154777070063695,"Cairo, Egypt",0.9682179341657208,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
7,7,8,2022 Paris World Challenge Cup,EGY,qual,FX,24.0,0.7006369426751593,"Paris, France",0.7593643586833144,JANA ABDELSALAM,0.009347942089498722,0.4897260273972603
8,8,9,2022 Paris World Challenge Cup,EGY,qual,UB,14.0,0.7770700636942675,"Paris, France",0.7593643586833144,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
9,9,10,2023 52nd FIG Artistic Gymnastics World Championships,EGY,qual,BB,144.0,0.6793630573248408,"Antwerp, Belgium",0.34506242905788875,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
10,10,11,2023 52nd FIG Artistic Gymnastics World Championships,EGY,qual,FX,131.0,0.7261146496815287,"Antwerp, Belgium",0.34506242905788875,JANA ABDELSALAM,0.009347942089498722,0.4897260273972603
11,11,12,2023 52nd FIG Artistic Gymnastics World Championships,EGY,qual,UB,152.0,0.5243949044585988,"Antwerp, Belgium",0.34506242905788875,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
12,12,13,2023 52nd FIG Artistic Gymnastics World Championships,EGY,qual,VT,131.0,0.7898089171974523,"Antwerp, Belgium",0.34506242905788875,JANA ABDELSALAM,0.0017059994313335235,0.8253424657534246
13,13,14,2023 Baku World Cup,EGY,qual,BB,22.0,0.7345859872611465,"Baku, Azerbaijan",0.5539160045402951,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
14,14,15,2023 Baku World Cup,EGY,qual,FX,22.0,0.7557961783439491,"Baku, Azerbaijan",0.5539160045402951,JANA ABDELSALAM,0.009347942089498722,0.4897260273972603
15,15,16,2023 Cairo World Cup,EGY,final,BB,8.0,0.7239490445859873,"Cairo, Egypt",0.5187287173666288,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
16,16,17,2023 Cairo World Cup,EGY,qual,BB,9.0,0.7749044585987261,"Cairo, Egypt",0.5187287173666288,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
17,17,18,2023 Cairo World Cup,EGY,qual,UB,29.0,0.6857324840764332,"Cairo, Egypt",0.5187287173666288,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
18,18,19,2023 Doha World Cup,EGY,final,BB,4.0,0.8280254777070064,"Doha, Qatar",0.5539160045402951,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
19,19,20,2023 Doha World Cup,EGY,qual,BB,6.0,0.8237579617834395,"Doha, Qatar",0.5539160045402951,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
20,20,21,2023 Doha World Cup,EGY,qual,UB,21.0,0.5944585987261147,"Doha, Qatar",0.5539160045402951,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
21,21,22,2022 British Gymnastics Championships,GBR,qual,BB,41.0,0.6496815286624203,"Liverpool, England",0.9682179341657208,AYESHA ABDULLAHI,0.0,0.2808219178082192
22,22,23,2022 British Gymnastics Championships,GBR,qual,UB,45.0,0.6496815286624203,"Liverpool, England",0.9682179341657208,AYESHA ABDULLAHI,0.0,0.3082191780821918
23,23,24,BIRMINGHAM 2022 Commonwealth Games,SRI,qual,BB,36.0,0.5796178343949044,"Birmingham, England",0.8297389330306469,KUMUDI IMANYA ABEYRATNE,0.0,0.2465753424657534
24,24,25,BIRMINGHAM 2022 Commonwealth Games,SRI,qual,FX,39.0,0.4681528662420382,"Birmingham, England",0.8297389330306469,KUMUDI IMANYA ABEYRATNE,0.0,0.2671232876712329
25,25,26,BIRMINGHAM 2022 Commonwealth Games,SRI,qual,UB,39.0,0.35031847133757965,"Birmingham, England",0.8297389330306469,KUMUDI IMANYA ABEYRATNE,0.0,0.2671232876712329
26,26,27,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,BB,116.0,0.6687898089171975,"Liverpool, England",0.7253121452894438,JANA ABOELHASAN,0.0,0.5171232876712328
27,27,28,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,FX,74.0,0.7812738853503185,"Liverpool, England",0.7253121452894438,JANA ABOELHASAN,0.45948251350582836,0.3458904109589041
28,28,29,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,UB,113.0,0.694267515923567,"Liverpool, England",0.7253121452894438,JANA ABOELHASAN,0.0,0.773972602739726
29,29,30,2022 51st FIG Artistic Gymnastics World Championships,EGY,qual,VT,138.0,0.7388535031847134,"Liverpool, England",0.7253121452894438,JANA ABOELHASAN,0.0,0.9452054794520548
30,30,31,2022 Paris World Challenge Cup,EGY,qual,BB,35.0,0.6687898089171975,"Paris, France",0.7593643586833144,JANA ABOELHASAN,0.0,0.5171232876712328
31,31,32,2022 Paris World Challenge Cup,EGY,qual,FX,27.0,0.6783439490445861,"Paris, France",0.7593643586833144,JANA ABOELHASAN,0.45948251350582836,0.3458904109589041
32,32,33,2023 Artistic Gymnastics Senior Pan American Championships,DOM,TeamQual,BB,,0.643312101910828,"Medellin, Colombia",0.48467650397275824,YAMILET ABREU,0.0,0.0
33,33,34,2023 Artistic Gymnastics Senior Pan American Championships,DOM,TeamQual,FX,,0.7877070063694268,"Medellin, Colombia",0.48467650397275824,YAMILET ABREU,0.0,0.0
34,34,35,2023 Artistic Gymnastics Senior Pan American Championships,DOM,TeamQual,UB,,0.7473248407643313,"Medellin, Colombia",0.48467650397275824,YAMILET ABREU,0.0,0.0
35,35,36,2023 Artistic Gymnastics Senior Pan American Championships,DOM,TeamQual,VT,,0.8004458598726115,"Medellin, Colombia",0.48467650397275824,YAMILET ABREU,0.0,0.0
36,36,37,2022 51st FIG Artistic Gymnastics World Championships,GBR,qual,BB,15.0,0.825859872611465,"Liverpool, England",0.7253121452894438,ONDINE ACHAMPONG,0.017603801053741833,0.0
