,Unnamed: 0.1,Unnamed: 0,Competition,Country,Round,Apparatus,Rank,Score,Location,days_till_paris,names,rate_of_change
0,0,1,2022 Cottbus World Cup,NOR,qual,HB,18.0,0.7525671161697389,"Cottbus, Germany",1.0,FREDRIK AAS,0.005100154279666502
1,1,2,2022 Cottbus World Cup,NOR,qual,PB,23.0,0.6680687863417049,"Cottbus, Germany",1.0,FREDRIK AAS,0.014161428383208356
2,2,3,2022 Cottbus World Cup,NOR,qual,PH,33.0,0.6721514289249041,"Cottbus, Germany",1.0,FREDRIK AAS,0.006800205706222311
3,3,4,2023 Cottbus World Cup,NOR,qual,HB,39.0,0.6989978968204875,"Cottbus, Germany",0.5856980703745743,FREDRIK AAS,0.005100154279666502
4,4,5,2023 Cottbus World Cup,NOR,qual,PH,44.0,0.7546702956822962,"Cottbus, Germany",0.5856980703745743,FREDRIK AAS,0.006800205706222311
5,5,6,2023 FISU World University Games,NOR,qual,FX,54.0,0.7773104045527651,"Chengdu, China",0.38024971623155507,FREDRIK AAS,0.0
6,6,7,2023 FISU World University Games,NOR,qual,HB,44.0,0.789682048744278,"Chengdu, China",0.38024971623155507,FREDRIK AAS,0.005100154279666502
7,7,8,2023 FISU World University Games,NOR,qual,PB,54.0,0.7711245824570084,"Chengdu, China",0.38024971623155507,FREDRIK AAS,0.014161428383208356
8,8,9,2023 FISU World University Games,NOR,qual,PH,58.0,0.7216380056909564,"Chengdu, China",0.38024971623155507,FREDRIK AAS,0.006800205706222311
9,9,10,2023 FISU World University Games,NOR,qual,SR,73.0,0.7340096498824693,"Chengdu, China",0.38024971623155507,FREDRIK AAS,0.0
10,10,11,2023 FISU World University Games,NOR,qual,VT,69.0,0.8020536929357911,"Chengdu, China",0.38024971623155507,FREDRIK AAS,0.0
11,11,12,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,FX,13.0,0.8536434492144006,"Liverpool, England",0.7253121452894438,NESTOR ABAD,0.02031084925167459
12,12,13,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,FX,48.0,0.8289001608313745,"Liverpool, England",0.7253121452894438,NESTOR ABAD,0.02031084925167459
13,13,14,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,HB,10.0,0.8309414821229741,"Liverpool, England",0.7253121452894438,NESTOR ABAD,-0.008989279501462093
14,14,15,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,HB,48.0,0.8144253371273042,"Liverpool, England",0.7253121452894438,NESTOR ABAD,-0.008989279501462093
15,15,16,2022 51st FIG Artistic Gymnastics World Championships,ESP,TeamFinal,HB,,0.8123840158357045,"Liverpool, England",0.7253121452894438,NESTOR ABAD,-0.008989279501462093
16,16,17,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,PB,12.0,0.8783867375974266,"Liverpool, England",0.7253121452894438,NESTOR ABAD,-0.00703203090075286
17,17,18,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,PB,26.0,0.8845725596931833,"Liverpool, England",0.7253121452894438,NESTOR ABAD,-0.00703203090075286
18,18,19,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,PH,21.0,0.6968947173079302,"Liverpool, England",0.7253121452894438,NESTOR ABAD,0.030472133903262394
19,19,20,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,PH,55.0,0.789682048744278,"Liverpool, England",0.7253121452894438,NESTOR ABAD,0.030472133903262394
20,20,21,2022 51st FIG Artistic Gymnastics World Championships,ESP,TeamFinal,PH,,0.7195966843993566,"Liverpool, England",0.7253121452894438,NESTOR ABAD,0.030472133903262394
21,21,22,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,SR,12.0,0.8185698379314611,"Liverpool, England",0.7253121452894438,NESTOR ABAD,-0.0007735233990825129
22,22,23,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,SR,90.0,0.7773104045527651,"Liverpool, England",0.7253121452894438,NESTOR ABAD,-0.0007735233990825129
23,23,24,2022 51st FIG Artistic Gymnastics World Championships,ESP,TeamFinal,SR,,0.8536434492144006,"Liverpool, England",0.7253121452894438,NESTOR ABAD,-0.0007735233990825129
24,24,25,2022 51st FIG Artistic Gymnastics World Championships,ESP,AAfinal,VT,20.0,0.8494989484102438,"Liverpool, England",0.7253121452894438,NESTOR ABAD,-0.010548046351129058
25,25,26,2022 51st FIG Artistic Gymnastics World Championships,ESP,qual,VT,97.0,0.835085982927131,"Liverpool, England",0.7253121452894438,NESTOR ABAD,-0.010548046351129058
26,26,27,2022 Senior European Championships,ESP,qual,FX,86.0,0.7690832611654088,"Munich, Germany",0.7945516458569807,NESTOR ABAD,0.02031084925167459
27,27,28,2022 Senior European Championships,ESP,qual,HB,10.0,0.8536434492144006,"Munich, Germany",0.7945516458569807,NESTOR ABAD,-0.008989279501462093
28,28,29,2022 Senior European Championships,ESP,TeamFinal,HB,10.0,0.8289001608313745,"Munich, Germany",0.7945516458569807,NESTOR ABAD,-0.008989279501462093
29,29,30,2022 Senior European Championships,ESP,qual,PB,9.0,0.8907583817889397,"Munich, Germany",0.7945516458569807,NESTOR ABAD,-0.00703203090075286
30,30,31,2022 Senior European Championships,ESP,TeamFinal,PB,10.0,0.870097735989113,"Munich, Germany",0.7945516458569807,NESTOR ABAD,-0.00703203090075286
31,31,32,2022 Senior European Championships,ESP,qual,PH,105.0,0.6495113200544352,"Munich, Germany",0.7945516458569807,NESTOR ABAD,0.030472133903262394
32,32,33,2022 Senior European Championships,ESP,qual,SR,23.0,0.8453544476060868,"Munich, Germany",0.7945516458569807,NESTOR ABAD,-0.0007735233990825129
33,33,34,2022 Senior European Championships,ESP,TeamFinal,SR,6.0,0.8433131263144871,"Munich, Germany",0.7945516458569807,NESTOR ABAD,-0.0007735233990825129
34,34,35,2022 Senior European Championships,ESP,qual,VT,36.0,0.8722009155016701,"Munich, Germany",0.7945516458569807,NESTOR ABAD,-0.010548046351129058
35,35,36,2023 52nd FIG Artistic Gymnastics World Championships,ESP,qual,FX,21.0,0.8762835580848695,"Antwerp, Belgium",0.34506242905788875,NESTOR ABAD,0.02031084925167459
36,36,37,2023 52nd FIG Artistic Gymnastics World Championships,ESP,qual,HB,66.0,0.8061981937399479,"Antwerp, Belgium",0.34506242905788875,NESTOR ABAD,-0.008989279501462093
37,37,38,2023 52nd FIG Artistic Gymnastics World Championships,ESP,qual,PB,59.0,0.8536434492144006,"Antwerp, Belgium",0.34506242905788875,NESTOR ABAD,-0.00703203090075286
38,38,39,2023 52nd FIG Artistic Gymnastics World Championships,ESP,qual,PH,58.0,0.8103426945441049,"Antwerp, Belgium",0.34506242905788875,NESTOR ABAD,0.030472133903262394
39,39,40,2023 52nd FIG Artistic Gymnastics World Championships,ESP,qual,SR,33.0,0.8412718050228875,"Antwerp, Belgium",0.34506242905788875,NESTOR ABAD,-0.0007735233990825129
40,40,41,2023 52nd FIG Artistic Gymnastics World Championships,ESP,qual,VT,126.0,0.8165285166398614,"Antwerp, Belgium",0.34506242905788875,NESTOR ABAD,-0.010548046351129058
41,41,42,2023 Senior European Championships,ESP,AAfinal,FX,24.0,0.7814549053569219,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,0.02031084925167459
42,42,43,2023 Senior European Championships,ESP,qual,FX,94.0,0.7732277619695658,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,0.02031084925167459
43,43,44,2023 Senior European Championships,ESP,AAfinal,HB,9.0,0.8289001608313745,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,-0.008989279501462093
44,44,45,2023 Senior European Championships,ESP,final,HB,4.0,0.8453544476060868,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,-0.008989279501462093
45,45,46,2023 Senior European Championships,ESP,qual,HB,5.0,0.8494989484102438,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,-0.008989279501462093
46,46,47,2023 Senior European Championships,ESP,AAfinal,PB,10.0,0.8556847705060002,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,-0.00703203090075286
47,47,48,2023 Senior European Championships,ESP,qual,PB,23.0,0.8598292713101571,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,-0.00703203090075286
48,48,49,2023 Senior European Championships,ESP,AAfinal,PH,12.0,0.8041568724483483,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,0.030472133903262394
49,49,50,2023 Senior European Championships,ESP,qual,PH,28.0,0.8185698379314611,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,0.030472133903262394
50,50,51,2023 Senior European Championships,ESP,qual,SR,17.0,0.8515402697018434,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,-0.0007735233990825129
51,51,52,2023 Senior European Championships,ESP,AAfinal,SR,4.0,0.8453544476060868,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,-0.0007735233990825129
52,52,53,2023 Senior European Championships,ESP,AAfinal,VT,22.0,0.8041568724483483,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,-0.010548046351129058
53,53,54,2023 Senior European Championships,ESP,qual,VT,69.0,0.847457627118644,"Antalya, Turkey",0.5187287173666288,NESTOR ABAD,-0.010548046351129058
54,54,55,2023 Tel Aviv World Challenge Cup,ESP,final,HB,1.0,0.8536434492144006,"Tel Aviv, Israel",0.44948921679909193,NESTOR ABAD,-0.008989279501462093
