Unnamed: 0.1,Unnamed: 0,Competition,Country,Round,Apparatus,Rank,Score,days_till_paris,names,rate_of_change
127,128,2022 U.S. Championships,USA,qual,BB,,13.6,700,CIENA ALIPIO,0.0093922651933701
128,129,2022 U.S. Championships,USA,final,BB,,13.95,700,CIENA ALIPIO,0.0093922651933701
129,130,2022 U.S. Championships,USA,qual,FX,,11.95,700,CIENA ALIPIO,-0.0027624309392265
130,131,2022 U.S. Championships,USA,final,FX,,11.35,700,CIENA ALIPIO,-0.0027624309392265
131,132,2022 U.S. Championships,USA,qual,UB,,12.35,700,CIENA ALIPIO,-0.0024861878453038
132,133,2022 U.S. Championships,USA,final,UB,,12.45,700,CIENA ALIPIO,-0.0024861878453038
133,134,2022 U.S. Championships,USA,qual,VT,,11.95,700,CIENA ALIPIO,0.0
134,135,2022 U.S. Championships,USA,final,VT,,13.2,700,CIENA ALIPIO,0.0
135,136,2022 U.S. Classic,USA,AAfinal,BB,12.0,11.4,731,CIENA ALIPIO,0.0093922651933701
136,137,2022 U.S. Classic,USA,AAfinal,FX,6.0,12.2,731,CIENA ALIPIO,-0.0027624309392265
137,138,2022 U.S. Classic,USA,AAfinal,UB,11.0,12.45,731,CIENA ALIPIO,-0.0024861878453038
138,139,2022 U.S. Classic,USA,AAfinal,VT,,13.3,731,CIENA ALIPIO,0.0
139,140,2022 Winter Cup,USA,AAfinal,BB,17.0,12.25,881,CIENA ALIPIO,0.0093922651933701
140,141,2022 Winter Cup,USA,AAfinal,FX,19.0,11.85,881,CIENA ALIPIO,-0.0027624309392265
141,142,2022 Winter Cup,USA,AAfinal,UB,11.0,12.9,881,CIENA ALIPIO,-0.0024861878453038
142,143,2022 Winter Cup,USA,AAfinal,VT,,13.2,881,CIENA ALIPIO,0.0
282,283,2023 Core Hydration Classic,USA,AAfinal,BB,33.0,9.7,335,LEIGH ANNE ELLIOTT,0.0
283,284,2023 Core Hydration Classic,USA,AAfinal,FX,26.0,9.0,335,LEIGH ANNE ELLIOTT,0.0
284,285,2023 Core Hydration Classic,USA,AAfinal,UB,23.0,12.25,335,LEIGH ANNE ELLIOTT,0.0
285,286,2023 Core Hydration Classic,USA,AAfinal,VT,,12.85,335,LEIGH ANNE ELLIOTT,0.0
549,550,2022 Winter Cup,USA,AAfinal,BB,6.0,13.1,881,SYDNEY BARROS,0.0
550,551,2022 Winter Cup,USA,AAfinal,FX,13.0,12.6,881,SYDNEY BARROS,-0.001340206185567
551,552,2022 Winter Cup,USA,AAfinal,UB,10.0,13.0,881,SYDNEY BARROS,0.0
552,553,2022 Winter Cup,USA,AAfinal,VT,,13.1,881,SYDNEY BARROS,0.0
718,719,2023 52nd FIG Artistic Gymnastics World Championships,USA,AAfinal,BB,1.0,14.433,304,SIMONE BILES,-0.0161290322580645
719,720,2023 52nd FIG Artistic Gymnastics World Championships,USA,final,BB,1.0,14.8,304,SIMONE BILES,-0.0161290322580645
720,721,2023 52nd FIG Artistic Gymnastics World Championships,USA,qual,BB,1.0,14.566,304,SIMONE BILES,-0.0161290322580645
721,722,2023 52nd FIG Artistic Gymnastics World Championships,USA,TeamFinal,BB,,14.3,304,SIMONE BILES,-0.0161290322580645
722,723,2023 52nd FIG Artistic Gymnastics World Championships,USA,AAfinal,FX,1.0,14.533,304,SIMONE BILES,0.0085806451612903
723,724,2023 52nd FIG Artistic Gymnastics World Championships,USA,final,FX,1.0,14.633,304,SIMONE BILES,0.0085806451612903
724,725,2023 52nd FIG Artistic Gymnastics World Championships,USA,qual,FX,1.0,14.633,304,SIMONE BILES,0.0085806451612903
725,726,2023 52nd FIG Artistic Gymnastics World Championships,USA,TeamFinal,FX,,15.166,304,SIMONE BILES,0.0085806451612903
726,727,2023 52nd FIG Artistic Gymnastics World Championships,USA,AAfinal,UB,6.0,14.333,304,SIMONE BILES,0.0150322580645161
727,728,2023 52nd FIG Artistic Gymnastics World Championships,USA,final,UB,5.0,14.2,304,SIMONE BILES,0.0150322580645161
728,729,2023 52nd FIG Artistic Gymnastics World Championships,USA,qual,UB,5.0,14.4,304,SIMONE BILES,0.0150322580645161
729,730,2023 52nd FIG Artistic Gymnastics World Championships,USA,TeamFinal,UB,,14.466,304,SIMONE BILES,0.0150322580645161
730,731,2023 52nd FIG Artistic Gymnastics World Championships,USA,AAfinal,VT,1.0,15.1,304,SIMONE BILES,-0.024741935483871
731,732,2023 52nd FIG Artistic Gymnastics World Championships,USA,TeamFinal,VT,,14.8,304,SIMONE BILES,-0.024741935483871
732,733,2023 52nd FIG Artistic Gymnastics World Championships,USA,final,VT,2.0,14.433,304,SIMONE BILES,-0.024741935483871
733,734,2023 52nd FIG Artistic Gymnastics World Championships,USA,qual,VT,1.0,15.266,304,SIMONE BILES,-0.024741935483871
734,735,2023 52nd FIG Artistic Gymnastics World Championships,USA,final,VT,2.0,14.666,304,SIMONE BILES,-0.024741935483871
735,736,2023 52nd FIG Artistic Gymnastics World Championships,USA,qual,VT,1.0,14.633,304,SIMONE BILES,-0.024741935483871
736,737,2023 Core Hydration Classic,USA,AAfinal,BB,1.0,14.8,335,SIMONE BILES,-0.0161290322580645
737,738,2023 Core Hydration Classic,USA,AAfinal,FX,1.0,14.9,335,SIMONE BILES,0.0085806451612903
738,739,2023 Core Hydration Classic,USA,AAfinal,UB,3.0,14.0,335,SIMONE BILES,0.0150322580645161
739,740,2023 Core Hydration Classic,USA,AAfinal,VT,,15.4,335,SIMONE BILES,-0.024741935483871
740,741,2023 U.S. Championships,USA,qual,BB,,14.45,335,SIMONE BILES,-0.0161290322580645
741,742,2023 U.S. Championships,USA,final,BB,,14.85,335,SIMONE BILES,-0.0161290322580645
742,743,2023 U.S. Championships,USA,qual,FX,,14.8,335,SIMONE BILES,0.0085806451612903
743,744,2023 U.S. Championships,USA,final,FX,,15.4,335,SIMONE BILES,0.0085806451612903
744,745,2023 U.S. Championships,USA,qual,UB,,14.35,335,SIMONE BILES,0.0150322580645161
745,746,2023 U.S. Championships,USA,final,UB,,14.05,335,SIMONE BILES,0.0150322580645161
746,747,2023 U.S. Championships,USA,qual,VT,,15.7,335,SIMONE BILES,-0.024741935483871
747,748,2023 U.S. Championships,USA,final,VT,,14.85,335,SIMONE BILES,-0.024741935483871
796,797,2022 51st FIG Artistic Gymnastics World Championships,USA,final,BB,5.0,13.3,639,SKYE BLAKELY,-0.0028318890814558
797,798,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,BB,2.0,13.733,639,SKYE BLAKELY,-0.0028318890814558
798,799,2022 51st FIG Artistic Gymnastics World Championships,USA,TeamFinal,BB,,13.266,639,SKYE BLAKELY,-0.0028318890814558
799,800,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,FX,11.0,13.6,639,SKYE BLAKELY,-0.0019230769230769
800,801,2022 51st FIG Artistic Gymnastics World Championships,USA,qual,UB,63.0,12.566,639,SKYE BLAKELY,0.0017608318890814
801,802,2022 U.S. Championships,USA,qual,BB,,13.45,700,SKYE BLAKELY,-0.0028318890814558
