Unnamed: 0.1,Unnamed: 0,Competition,Country,Round,Apparatus,Rank,Score,days_till_paris,names,rate_of_change
271,272,2022 U.S. Classic,USA,AAfinal,HB,26.0,12.1,731,JUSTIN AH CHOW,0.0
272,273,2022 U.S. Classic,USA,AAfinal,PB,19.0,13.15,731,JUSTIN AH CHOW,0.0
273,274,2022 U.S. Classic,USA,AAfinal,PH,26.0,11.75,731,JUSTIN AH CHOW,0.0
413,414,2023 Core Hydration Classic,USA,AAfinal,FX,49.0,12.15,335,SARAN ALEXANDER,0.0
414,415,2023 Core Hydration Classic,USA,AAfinal,HB,50.0,11.75,335,SARAN ALEXANDER,0.0
415,416,2023 Core Hydration Classic,USA,AAfinal,PB,55.0,12.4,335,SARAN ALEXANDER,0.0
416,417,2023 Core Hydration Classic,USA,AAfinal,PH,64.0,9.9,335,SARAN ALEXANDER,0.0
417,418,2023 Core Hydration Classic,USA,AAfinal,SR,72.0,10.5,335,SARAN ALEXANDER,0.0
418,419,2023 Core Hydration Classic,USA,AAfinal,VT,67.0,12.45,335,SARAN ALEXANDER,0.0
430,431,2022 U.S. Championships,USA,final,SR,,13.0,700,JAVIER ALFONSO,0.0017676767676767
431,432,2022 U.S. Classic,USA,AAfinal,FX,16.0,13.45,731,JAVIER ALFONSO,0.0012626262626262
432,433,2022 U.S. Classic,USA,AAfinal,HB,33.0,11.55,731,JAVIER ALFONSO,0.0
433,434,2022 U.S. Classic,USA,AAfinal,PB,25.0,12.95,731,JAVIER ALFONSO,0.0021464646464646
434,435,2022 U.S. Classic,USA,AAfinal,SR,12.0,13.3,731,JAVIER ALFONSO,0.0017676767676767
435,436,2022 U.S. Classic,USA,AAfinal,VT,25.0,13.45,731,JAVIER ALFONSO,0.0
436,437,2023 Core Hydration Classic,USA,AAfinal,FX,5.0,14.3,335,JAVIER ALFONSO,0.0012626262626262
437,438,2023 Core Hydration Classic,USA,AAfinal,PB,28.0,13.4,335,JAVIER ALFONSO,0.0021464646464646
438,439,2023 Core Hydration Classic,USA,AAfinal,SR,3.0,14.2,335,JAVIER ALFONSO,0.0017676767676767
439,440,2023 U.S. Championships,USA,qual,FX,,14.05,335,JAVIER ALFONSO,0.0012626262626262
440,441,2023 U.S. Championships,USA,final,FX,,13.95,335,JAVIER ALFONSO,0.0012626262626262
441,442,2023 U.S. Championships,USA,qual,PB,,12.55,335,JAVIER ALFONSO,0.0021464646464646
442,443,2023 U.S. Championships,USA,final,PB,,13.8,335,JAVIER ALFONSO,0.0021464646464646
443,444,2023 U.S. Championships,USA,qual,SR,,14.1,335,JAVIER ALFONSO,0.0017676767676767
444,445,2023 U.S. Championships,USA,final,SR,,14.0,335,JAVIER ALFONSO,0.0017676767676767
445,446,2023 Winter Cup,USA,AAfinal,FX,12.0,13.2,516,JAVIER ALFONSO,0.0012626262626262
446,447,2023 Winter Cup,USA,AAfinal,PB,26.0,12.6,516,JAVIER ALFONSO,0.0021464646464646
447,448,2023 Winter Cup,USA,AAfinal,SR,3.0,14.15,516,JAVIER ALFONSO,0.0017676767676767
512,513,2023 Core Hydration Classic,USA,AAfinal,SR,12.0,13.4,335,ASHTON ANAYA,0.0
513,514,2023 Core Hydration Classic,USA,AAfinal,SR,60.0,11.65,335,REUVEN ANDERSON,0.0
524,525,2023 Core Hydration Classic,USA,AAfinal,FX,50.0,12.15,335,DRAKE ANDREWS,0.0
525,526,2023 Core Hydration Classic,USA,AAfinal,HB,22.0,13.1,335,DRAKE ANDREWS,0.0011049723756906
526,527,2023 Core Hydration Classic,USA,AAfinal,PB,46.0,12.75,335,DRAKE ANDREWS,0.0074585635359116
527,528,2023 Core Hydration Classic,USA,AAfinal,PH,74.0,6.5,335,DRAKE ANDREWS,-0.0312154696132596
528,529,2023 Core Hydration Classic,USA,AAfinal,VT,49.0,13.4,335,DRAKE ANDREWS,0.0
529,530,2023 Winter Cup,USA,AAfinal,HB,10.0,12.9,516,DRAKE ANDREWS,0.0011049723756906
530,531,2023 Winter Cup,USA,AAfinal,PB,29.0,11.4,516,DRAKE ANDREWS,0.0074585635359116
531,532,2023 Winter Cup,USA,AAfinal,PH,21.0,12.15,516,DRAKE ANDREWS,-0.0312154696132596
532,533,2023 Winter Cup,USA,AAfinal,SR,18.0,12.85,516,DRAKE ANDREWS,0.0
697,698,2022 U.S. Championships,USA,qual,FX,,13.5,700,MICHAEL ARTLIP,0.0018315018315018
698,699,2022 U.S. Championships,USA,final,FX,,12.3,700,MICHAEL ARTLIP,0.0018315018315018
699,700,2022 U.S. Championships,USA,qual,HB,,13.0,700,MICHAEL ARTLIP,0.0047619047619047
700,701,2022 U.S. Championships,USA,final,HB,,12.3,700,MICHAEL ARTLIP,0.0047619047619047
701,702,2022 U.S. Championships,USA,qual,PB,,13.25,700,MICHAEL ARTLIP,0.0013736263736263
702,703,2022 U.S. Championships,USA,final,PB,,13.75,700,MICHAEL ARTLIP,0.0013736263736263
703,704,2022 U.S. Championships,USA,qual,PH,,12.15,700,MICHAEL ARTLIP,0.0026556776556776
704,705,2022 U.S. Championships,USA,final,PH,,12.95,700,MICHAEL ARTLIP,0.0026556776556776
705,706,2022 U.S. Championships,USA,qual,SR,,12.4,700,MICHAEL ARTLIP,-0.0012820512820512
706,707,2022 U.S. Championships,USA,final,SR,,11.7,700,MICHAEL ARTLIP,-0.0012820512820512
707,708,2022 U.S. Championships,USA,qual,VT,,13.6,700,MICHAEL ARTLIP,-0.0001831501831501
708,709,2022 U.S. Championships,USA,final,VT,,13.65,700,MICHAEL ARTLIP,-0.0001831501831501
709,710,2022 U.S. Classic,USA,AAfinal,FX,25.0,12.7,731,MICHAEL ARTLIP,0.0018315018315018
710,711,2022 U.S. Classic,USA,AAfinal,HB,30.0,11.7,731,MICHAEL ARTLIP,0.0047619047619047
711,712,2022 U.S. Classic,USA,AAfinal,PB,28.0,12.7,731,MICHAEL ARTLIP,0.0013736263736263
712,713,2022 U.S. Classic,USA,AAfinal,PH,24.0,11.95,731,MICHAEL ARTLIP,0.0026556776556776
713,714,2022 U.S. Classic,USA,AAfinal,SR,15.0,13.0,731,MICHAEL ARTLIP,-0.0012820512820512
714,715,2022 U.S. Classic,USA,AAfinal,VT,15.0,14.1,731,MICHAEL ARTLIP,-0.0001831501831501
715,716,2022 Winter Cup,USA,AAfinal,FX,18.0,12.7,881,MICHAEL ARTLIP,0.0018315018315018
716,717,2022 Winter Cup,USA,AAfinal,HB,36.0,10.1,881,MICHAEL ARTLIP,0.0047619047619047
717,718,2022 Winter Cup,USA,AAfinal,PB,25.0,12.65,881,MICHAEL ARTLIP,0.0013736263736263
718,719,2022 Winter Cup,USA,AAfinal,PH,30.0,11.5,881,MICHAEL ARTLIP,0.0026556776556776
719,720,2022 Winter Cup,USA,AAfinal,SR,14.0,13.05,881,MICHAEL ARTLIP,-0.0012820512820512
720,721,2022 Winter Cup,USA,AAfinal,VT,19.0,14.0,881,MICHAEL ARTLIP,-0.0001831501831501
721,722,2023 Core Hydration Classic,USA,AAfinal,FX,8.0,14.05,335,MICHAEL ARTLIP,0.0018315018315018
722,723,2023 Core Hydration Classic,USA,AAfinal,HB,26.0,12.85,335,MICHAEL ARTLIP,0.0047619047619047
723,724,2023 Core Hydration Classic,USA,AAfinal,PB,24.0,13.5,335,MICHAEL ARTLIP,0.0013736263736263
724,725,2023 Core Hydration Classic,USA,AAfinal,PH,22.0,12.5,335,MICHAEL ARTLIP,0.0026556776556776
725,726,2023 Core Hydration Classic,USA,AAfinal,VT,9.0,14.45,335,MICHAEL ARTLIP,-0.0001831501831501
726,727,2023 U.S. Championships,USA,qual,FX,,13.5,335,MICHAEL ARTLIP,0.0018315018315018
727,728,2023 U.S. Championships,USA,final,FX,,13.7,335,MICHAEL ARTLIP,0.0018315018315018
728,729,2023 U.S. Championships,USA,qual,HB,,13.1,335,MICHAEL ARTLIP,0.0047619047619047
729,730,2023 U.S. Championships,USA,final,HB,,12.7,335,MICHAEL ARTLIP,0.0047619047619047
730,731,2023 U.S. Championships,USA,qual,PB,,13.25,335,MICHAEL ARTLIP,0.0013736263736263
731,732,2023 U.S. Championships,USA,final,PB,,13.4,335,MICHAEL ARTLIP,0.0013736263736263
732,733,2023 U.S. Championships,USA,qual,PH,,12.75,335,MICHAEL ARTLIP,0.0026556776556776
733,734,2023 U.S. Championships,USA,final,PH,,12.95,335,MICHAEL ARTLIP,0.0026556776556776
734,735,2023 U.S. Championships,USA,qual,SR,,12.55,335,MICHAEL ARTLIP,-0.0012820512820512
735,736,2023 U.S. Championships,USA,final,SR,,12.35,335,MICHAEL ARTLIP,-0.0012820512820512
736,737,2023 U.S. Championships,USA,qual,VT,,14.0,335,MICHAEL ARTLIP,-0.0001831501831501
737,738,2023 U.S. Championships,USA,final,VT,,13.9,335,MICHAEL ARTLIP,-0.0001831501831501
738,739,2023 Winter Cup,USA,AAfinal,HB,16.0,12.65,516,MICHAEL ARTLIP,0.0047619047619047
739,740,2023 Winter Cup,USA,AAfinal,PB,30.0,11.3,516,MICHAEL ARTLIP,0.0013736263736263
740,741,2023 Winter Cup,USA,AAfinal,PH,27.0,11.0,516,MICHAEL ARTLIP,0.0026556776556776
741,742,2023 Winter Cup,USA,AAfinal,SR,27.0,11.65,516,MICHAEL ARTLIP,-0.0012820512820512
745,746,2023 Core Hydration Classic,USA,AAfinal,FX,61.0,11.6,335,ARTHUR ASHTON,0.0
746,747,2023 Core Hydration Classic,USA,AAfinal,HB,76.0,9.9,335,ARTHUR ASHTON,0.0
747,748,2023 Core Hydration Classic,USA,AAfinal,PB,58.0,12.35,335,ARTHUR ASHTON,0.0
748,749,2023 Core Hydration Classic,USA,AAfinal,PH,44.0,11.5,335,ARTHUR ASHTON,0.0
749,750,2023 Core Hydration Classic,USA,AAfinal,SR,49.0,12.15,335,ARTHUR ASHTON,0.0
750,751,2023 Core Hydration Classic,USA,AAfinal,VT,43.0,13.55,335,ARTHUR ASHTON,0.0
1320,1321,2023 Core Hydration Classic,USA,AAfinal,FX,67.0,10.3,335,DANNY BEAUPRE,0.0
1321,1322,2023 Core Hydration Classic,USA,AAfinal,VT,71.0,12.0,335,DANNY BEAUPRE,0.0
1330,1331,2022 Winter Cup,USA,AAfinal,FX,12.0,13.2,881,FUZZY BENAS,0.0
1331,1332,2022 Winter Cup,USA,AAfinal,HB,16.0,12.95,881,FUZZY BENAS,-0.0026556776556776
1332,1333,2022 Winter Cup,USA,AAfinal,PB,10.0,13.75,881,FUZZY BENAS,0.0001831501831501
1333,1334,2022 Winter Cup,USA,AAfinal,PH,27.0,11.8,881,FUZZY BENAS,0.003021978021978
1334,1335,2022 Winter Cup,USA,AAfinal,SR,13.0,13.2,881,FUZZY BENAS,-0.0011904761904761
1335,1336,2022 Winter Cup,USA,AAfinal,VT,10.0,14.4,881,FUZZY BENAS,0.0
1336,1337,2023 Core Hydration Classic,USA,AAfinal,HB,10.0,13.4,335,FUZZY BENAS,-0.0026556776556776
1337,1338,2023 Core Hydration Classic,USA,AAfinal,PB,13.0,13.95,335,FUZZY BENAS,0.0001831501831501
1338,1339,2023 Core Hydration Classic,USA,AAfinal,PH,25.0,12.4,335,FUZZY BENAS,0.003021978021978
1339,1340,2023 Core Hydration Classic,USA,AAfinal,SR,17.0,13.15,335,FUZZY BENAS,-0.0011904761904761
