,LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,Score
0,AAS,FREDRIK,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",HB,18.0,12.166
1,AAS,FREDRIK,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PB,23.0,10.8
2,AAS,FREDRIK,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,33.0,10.866
3,AAS,FREDRIK,m,NOR,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",HB,39.0,11.3
4,AAS,FREDRIK,m,NOR,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,44.0,12.2
5,AAS,FREDRIK,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",FX,54.0,12.566
6,AAS,FREDRIK,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",HB,44.0,12.766
7,AAS,FREDRIK,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PB,54.0,12.466
8,AAS,FREDRIK,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PH,58.0,11.666
9,AAS,FREDRIK,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",SR,73.0,11.866
10,AAS,FREDRIK,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",VT,69.0,12.966
11,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,13.0,13.8
12,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,48.0,13.4
13,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",HB,10.0,13.433
14,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,48.0,13.166
15,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",HB,,13.133
16,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,12.0,14.2
17,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,26.0,14.3
18,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PH,21.0,11.266
19,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,55.0,12.766
20,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",PH,,11.633
21,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",SR,12.0,13.233
22,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,90.0,12.566
23,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",SR,,13.8
24,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,20.0,13.733
25,ABAD,NESTOR,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,97.0,13.5
26,ABAD,NESTOR,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",FX,86.0,12.433
27,ABAD,NESTOR,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",HB,10.0,13.8
28,ABAD,NESTOR,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,10.0,13.4
29,ABAD,NESTOR,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PB,9.0,14.4
30,ABAD,NESTOR,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,10.0,14.066
31,ABAD,NESTOR,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PH,105.0,10.5
32,ABAD,NESTOR,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",SR,23.0,13.666
33,ABAD,NESTOR,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,6.0,13.633
34,ABAD,NESTOR,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",VT,36.0,14.1
35,ABAD,NESTOR,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,21.0,14.166
36,ABAD,NESTOR,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",HB,66.0,13.033
37,ABAD,NESTOR,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,59.0,13.8
38,ABAD,NESTOR,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,58.0,13.1
39,ABAD,NESTOR,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",SR,33.0,13.6
40,ABAD,NESTOR,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,126.0,13.2
41,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,24.0,12.633
42,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",FX,94.0,12.5
43,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,9.0,13.4
44,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,final,"Antalya, Turkey",HB,4.0,13.666
45,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",HB,5.0,13.733
46,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PB,10.0,13.833
47,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",PB,23.0,13.9
48,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PH,12.0,13.0
49,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",PH,28.0,13.233
50,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",SR,17.0,13.766
51,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",SR,4.0,13.666
52,ABAD,NESTOR,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT,22.0,13.0
