,LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,Score
144,ABDELSALAM,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,100.0,11.0
145,ABDELSALAM,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,109.0,11.766
146,ABDELSALAM,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,52.0,12.8
147,ABDELSALAM,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,110.0,12.333
148,ABDELSALAM,JANA,w,EGY,17-20 Mar 2022,2022 Cairo World Cup,qual,"Cairo, Egypt",BB,14.0,10.766
149,ABDELSALAM,JANA,w,EGY,17-20 Mar 2022,2022 Cairo World Cup,final,"Cairo, Egypt",UB,6.0,10.866
150,ABDELSALAM,JANA,w,EGY,17-20 Mar 2022,2022 Cairo World Cup,qual,"Cairo, Egypt",UB,7.0,11.233
151,ABDELSALAM,JANA,w,EGY,24-25 Sept 2022,2022 Paris World Challenge Cup,qual,"Paris, France",FX,24.0,11.0
152,ABDELSALAM,JANA,w,EGY,24-25 Sept 2022,2022 Paris World Challenge Cup,qual,"Paris, France",UB,14.0,12.2
153,ABDELSALAM,JANA,w,EGY,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,144.0,10.666
154,ABDELSALAM,JANA,w,EGY,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,131.0,11.4
155,ABDELSALAM,JANA,w,EGY,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,152.0,8.233
156,ABDELSALAM,JANA,w,EGY,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,131.0,12.4
157,ABDELSALAM,JANA,w,EGY,9-12 Mar 2023,2023 Baku World Cup,qual,"Baku, Azerbaijan",BB,22.0,11.533
158,ABDELSALAM,JANA,w,EGY,9-12 Mar 2023,2023 Baku World Cup,qual,"Baku, Azerbaijan",FX,22.0,11.866
159,ABDELSALAM,JANA,w,EGY,27-30 Apr 2023,2023 Cairo World Cup,final,"Cairo, Egypt",BB,8.0,11.366
160,ABDELSALAM,JANA,w,EGY,27-30 Apr 2023,2023 Cairo World Cup,qual,"Cairo, Egypt",BB,9.0,12.166
161,ABDELSALAM,JANA,w,EGY,27-30 Apr 2023,2023 Cairo World Cup,qual,"Cairo, Egypt",UB,29.0,10.766
162,ABDELSALAM,JANA,w,EGY,1-4 Mar 2023,2023 Doha World Cup,final,"Doha, Qatar",BB,4.0,13.0
163,ABDELSALAM,JANA,w,EGY,1-4 Mar 2023,2023 Doha World Cup,qual,"Doha, Qatar",BB,6.0,12.933
164,ABDELSALAM,JANA,w,EGY,1-4 Mar 2023,2023 Doha World Cup,qual,"Doha, Qatar",UB,21.0,9.333
168,ABDULLAHI,AYESHA,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,41.0,10.2
169,ABDULLAHI,AYESHA,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,45.0,10.2
220,ABEYRATNE,KUMUDI IMANYA,w,SRI,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,36.0,9.1
221,ABEYRATNE,KUMUDI IMANYA,w,SRI,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,39.0,7.35
222,ABEYRATNE,KUMUDI IMANYA,w,SRI,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",UB,39.0,5.5
226,ABOELHASAN,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,116.0,10.5
227,ABOELHASAN,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,74.0,12.266
228,ABOELHASAN,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,113.0,10.9
229,ABOELHASAN,JANA,w,EGY,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,138.0,11.6
230,ABOELHASAN,JANA,w,EGY,24-25 Sept 2022,2022 Paris World Challenge Cup,qual,"Paris, France",BB,35.0,10.5
231,ABOELHASAN,JANA,w,EGY,24-25 Sept 2022,2022 Paris World Challenge Cup,qual,"Paris, France",FX,27.0,10.65
232,ABREU,YAMILET,w,DOM,26-28 May 2023,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",BB,,10.1
233,ABREU,YAMILET,w,DOM,26-28 May 2023,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",FX,,12.367
234,ABREU,YAMILET,w,DOM,26-28 May 2023,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",UB,,11.733
235,ABREU,YAMILET,w,DOM,26-28 May 2023,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",VT,,12.567
245,ACHAMPONG,ONDINE,w,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,15.0,12.966
246,ACHAMPONG,ONDINE,w,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",BB,,13.7
247,ACHAMPONG,ONDINE,w,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,16.0,13.333
248,ACHAMPONG,ONDINE,w,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,51.0,12.833
249,ACHAMPONG,ONDINE,w,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",VT,,14.366
250,ACHAMPONG,ONDINE,w,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,3.0,14.466
251,ACHAMPONG,ONDINE,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,final,"Liverpool, England",BB,4.0,12.8
