,Unnamed: 0,Country,Competition,Round,Location,Apparatus,Rank,Score,days_till_paris,names,rate_of_change,average_apparatus_rank
0,144,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,100.0,11.0,639,JANA ABDELSALAM,-0.00018214936247723068,38.375
1,145,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,109.0,11.766,639,JANA ABDELSALAM,0.0010958904109589051,71.5
2,146,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,52.0,12.8,639,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
3,147,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,110.0,12.333,639,JANA ABDELSALAM,0.0002000000000000005,120.5
4,148,EGY,2022 Cairo World Cup,qual,"Cairo, Egypt",BB,14.0,10.766,853,JANA ABDELSALAM,-0.00018214936247723068,38.375
5,149,EGY,2022 Cairo World Cup,final,"Cairo, Egypt",UB,6.0,10.866,853,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
6,150,EGY,2022 Cairo World Cup,qual,"Cairo, Egypt",UB,7.0,11.233,853,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
7,151,EGY,2022 Paris World Challenge Cup,qual,"Paris, France",FX,24.0,11.0,669,JANA ABDELSALAM,0.0010958904109589051,71.5
8,152,EGY,2022 Paris World Challenge Cup,qual,"Paris, France",UB,14.0,12.2,669,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
9,153,EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,144.0,10.666,304,JANA ABDELSALAM,-0.00018214936247723068,38.375
10,154,EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,131.0,11.4,304,JANA ABDELSALAM,0.0010958904109589051,71.5
11,155,EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,152.0,8.233,304,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
12,156,EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,131.0,12.4,304,JANA ABDELSALAM,0.0002000000000000005,120.5
13,157,EGY,2023 Baku World Cup,qual,"Baku, Azerbaijan",BB,22.0,11.533,488,JANA ABDELSALAM,-0.00018214936247723068,38.375
14,158,EGY,2023 Baku World Cup,qual,"Baku, Azerbaijan",FX,22.0,11.866,488,JANA ABDELSALAM,0.0010958904109589051,71.5
15,159,EGY,2023 Cairo World Cup,final,"Cairo, Egypt",BB,8.0,11.366,457,JANA ABDELSALAM,-0.00018214936247723068,38.375
16,160,EGY,2023 Cairo World Cup,qual,"Cairo, Egypt",BB,9.0,12.166,457,JANA ABDELSALAM,-0.00018214936247723068,38.375
17,161,EGY,2023 Cairo World Cup,qual,"Cairo, Egypt",UB,29.0,10.766,457,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
18,162,EGY,2023 Doha World Cup,final,"Doha, Qatar",BB,4.0,13.0,488,JANA ABDELSALAM,-0.00018214936247723068,38.375
19,163,EGY,2023 Doha World Cup,qual,"Doha, Qatar",BB,6.0,12.933,488,JANA ABDELSALAM,-0.00018214936247723068,38.375
20,164,EGY,2023 Doha World Cup,qual,"Doha, Qatar",UB,21.0,9.333,488,JANA ABDELSALAM,-0.004795992714025499,40.142857142857146
21,168,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,41.0,10.2,853,AYESHA ABDULLAHI,0,41.0
22,169,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,45.0,10.2,853,AYESHA ABDULLAHI,0,45.0
23,220,SRI,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,36.0,9.1,731,KUMUDI IMANYA ABEYRATNE,0,36.0
24,221,SRI,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,39.0,7.35,731,KUMUDI IMANYA ABEYRATNE,0,39.0
25,222,SRI,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",UB,39.0,5.5,731,KUMUDI IMANYA ABEYRATNE,0,39.0
26,226,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,116.0,10.5,639,JANA ABOELHASAN,0.0,75.5
27,227,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,74.0,12.266,639,JANA ABOELHASAN,0.05386666666666665,50.5
28,228,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,113.0,10.9,639,JANA ABOELHASAN,0,113.0
29,229,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,138.0,11.6,639,JANA ABOELHASAN,0,138.0
30,230,EGY,2022 Paris World Challenge Cup,qual,"Paris, France",BB,35.0,10.5,669,JANA ABOELHASAN,0.0,75.5
31,231,EGY,2022 Paris World Challenge Cup,qual,"Paris, France",FX,27.0,10.65,669,JANA ABOELHASAN,0.05386666666666665,50.5
32,232,DOM,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",BB,,10.1,427,YAMILET ABREU,0,0.0
33,233,DOM,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",FX,,12.367,427,YAMILET ABREU,0,0.0
34,234,DOM,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",UB,,11.733,427,YAMILET ABREU,0,0.0
35,235,DOM,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,"Medellin, Colombia",VT,,12.567,427,YAMILET ABREU,0,0.0
36,245,GBR,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,15.0,12.966,639,ONDINE ACHAMPONG,0.002063752276867029,0.0
37,246,GBR,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",BB,,13.7,639,ONDINE ACHAMPONG,0.002063752276867029,0.0
38,247,GBR,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,16.0,13.333,639,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
39,248,GBR,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,51.0,12.833,639,ONDINE ACHAMPONG,-0.000304189435336976,18.5
40,249,GBR,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",VT,,14.366,639,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
41,250,GBR,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,3.0,14.466,639,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
42,251,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",BB,4.0,12.8,853,ONDINE ACHAMPONG,0.002063752276867029,0.0
43,252,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,1.0,13.65,853,ONDINE ACHAMPONG,0.002063752276867029,0.0
44,253,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,12.0,12.5,853,ONDINE ACHAMPONG,0.000666666666666666,12.454545454545455
45,254,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",UB,5.0,12.9,853,ONDINE ACHAMPONG,-0.000304189435336976,18.5
46,255,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,7.0,13.1,853,ONDINE ACHAMPONG,-0.000304189435336976,18.5
47,256,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,1.0,14.25,853,ONDINE ACHAMPONG,9.107468123861697e-05,0.0
48,257,GBR,2022 Senior European Championships,final,"Munich, Germany",BB,2.0,13.4,700,ONDINE ACHAMPONG,0.002063752276867029,0.0
49,258,GBR,2022 Senior European Championships,qual,"Munich, Germany",BB,7.0,13.266,700,ONDINE ACHAMPONG,0.002063752276867029,0.0
