,Unnamed: 0,Country,Competition,Round,Location,Apparatus,Rank,Score,days_till_paris,names,rate_of_change,average_apparatus_rank
0,0,NOR,2022 Cottbus World Cup,qual,"Cottbus, Germany",HB,18.0,12.166,881,FREDRIK AAS,0.0010989010989010982,33.666666666666664
1,1,NOR,2022 Cottbus World Cup,qual,"Cottbus, Germany",PB,23.0,10.8,881,FREDRIK AAS,0.0030512820512820487,38.5
2,2,NOR,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,33.0,10.866,881,FREDRIK AAS,0.0014652014652014665,45.0
3,3,NOR,2023 Cottbus World Cup,qual,"Cottbus, Germany",HB,39.0,11.3,516,FREDRIK AAS,0.0010989010989010982,33.666666666666664
4,4,NOR,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,44.0,12.2,516,FREDRIK AAS,0.0014652014652014665,45.0
5,5,NOR,2023 FISU World University Games,qual,"Chengdu, China",FX,54.0,12.566,335,FREDRIK AAS,0,54.0
6,6,NOR,2023 FISU World University Games,qual,"Chengdu, China",HB,44.0,12.766,335,FREDRIK AAS,0.0010989010989010982,33.666666666666664
7,7,NOR,2023 FISU World University Games,qual,"Chengdu, China",PB,54.0,12.466,335,FREDRIK AAS,0.0030512820512820487,38.5
8,8,NOR,2023 FISU World University Games,qual,"Chengdu, China",PH,58.0,11.666,335,FREDRIK AAS,0.0014652014652014665,45.0
9,9,NOR,2023 FISU World University Games,qual,"Chengdu, China",SR,73.0,11.866,335,FREDRIK AAS,0,73.0
10,10,NOR,2023 FISU World University Games,qual,"Chengdu, China",VT,69.0,12.966,335,FREDRIK AAS,0,69.0
11,11,ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,13.0,13.8,639,NESTOR ABAD,0.004376262626262627,47.666666666666664
12,12,ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,48.0,13.4,639,NESTOR ABAD,0.004376262626262627,47.666666666666664
