,Unnamed: 0.1,Unnamed: 0,Country,Competition,Round,Location,Apparatus,Rank,Score,days_till_paris,names,rate_of_change,average_apparatus_rank
0,0,144,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,100.0,0.7006369426751593,0.7253121452894438,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
1,1,145,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,109.0,0.7494267515923567,0.7253121452894438,JANA ABDELSALAM,0.009347942089498722,0.4897260273972603
2,2,146,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,52.0,0.8152866242038217,0.7253121452894438,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
3,3,147,EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,110.0,0.7855414012738854,0.7253121452894438,JANA ABDELSALAM,0.0017059994313335235,0.8253424657534246
4,4,148,EGY,2022 Cairo World Cup,qual,"Cairo, Egypt",BB,14.0,0.6857324840764332,0.9682179341657208,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
5,5,149,EGY,2022 Cairo World Cup,final,"Cairo, Egypt",UB,6.0,0.6921019108280255,0.9682179341657208,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
6,6,150,EGY,2022 Cairo World Cup,qual,"Cairo, Egypt",UB,7.0,0.7154777070063695,0.9682179341657208,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
7,7,151,EGY,2022 Paris World Challenge Cup,qual,"Paris, France",FX,24.0,0.7006369426751593,0.7593643586833144,JANA ABDELSALAM,0.009347942089498722,0.4897260273972603
8,8,152,EGY,2022 Paris World Challenge Cup,qual,"Paris, France",UB,14.0,0.7770700636942675,0.7593643586833144,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
9,9,153,EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,144.0,0.6793630573248408,0.34506242905788875,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
10,10,154,EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,131.0,0.7261146496815287,0.34506242905788875,JANA ABDELSALAM,0.009347942089498722,0.4897260273972603
11,11,155,EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,152.0,0.5243949044585988,0.34506242905788875,JANA ABDELSALAM,-0.04090980421403527,0.27495107632093935
12,12,156,EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,131.0,0.7898089171974523,0.34506242905788875,JANA ABDELSALAM,0.0017059994313335235,0.8253424657534246
13,13,157,EGY,2023 Baku World Cup,qual,"Baku, Azerbaijan",BB,22.0,0.7345859872611465,0.5539160045402951,JANA ABDELSALAM,-0.001553733544019335,0.2628424657534247
14,14,158,EGY,2023 Baku World Cup,qual,"Baku, Azerbaijan",FX,22.0,0.7557961783439491,0.5539160045402951,JANA ABDELSALAM,0.009347942089498722,0.4897260273972603
