,Unnamed: 0.1,Unnamed: 0,Country,Competition,Round,Location,Apparatus,Rank,Score,days_till_paris,names,rate_of_change,average_apparatus_rank
0,0,0,NOR,2022 Cottbus World Cup,qual,"Cottbus, Germany",HB,18.0,0.7525671161697389,1.0,FREDRIK AAS,0.005100154279666502,0.2387706855791962
1,1,1,NOR,2022 Cottbus World Cup,qual,"Cottbus, Germany",PB,23.0,0.6680687863417049,1.0,FREDRIK AAS,0.014161428383208356,0.2730496453900709
2,2,2,NOR,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,33.0,0.6721514289249041,1.0,FREDRIK AAS,0.006800205706222311,0.3191489361702128
3,3,3,NOR,2023 Cottbus World Cup,qual,"Cottbus, Germany",HB,39.0,0.6989978968204875,0.5856980703745743,FREDRIK AAS,0.005100154279666502,0.2387706855791962
4,4,4,NOR,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,44.0,0.7546702956822962,0.5856980703745743,FREDRIK AAS,0.006800205706222311,0.3191489361702128
5,5,5,NOR,2023 FISU World University Games,qual,"Chengdu, China",FX,54.0,0.7773104045527651,0.38024971623155507,FREDRIK AAS,0.0,0.3829787234042553
6,6,6,NOR,2023 FISU World University Games,qual,"Chengdu, China",HB,44.0,0.789682048744278,0.38024971623155507,FREDRIK AAS,0.005100154279666502,0.2387706855791962
7,7,7,NOR,2023 FISU World University Games,qual,"Chengdu, China",PB,54.0,0.7711245824570084,0.38024971623155507,FREDRIK AAS,0.014161428383208356,0.2730496453900709
8,8,8,NOR,2023 FISU World University Games,qual,"Chengdu, China",PH,58.0,0.7216380056909564,0.38024971623155507,FREDRIK AAS,0.006800205706222311,0.3191489361702128
9,9,9,NOR,2023 FISU World University Games,qual,"Chengdu, China",SR,73.0,0.7340096498824693,0.38024971623155507,FREDRIK AAS,0.0,0.5177304964539007
10,10,10,NOR,2023 FISU World University Games,qual,"Chengdu, China",VT,69.0,0.8020536929357911,0.38024971623155507,FREDRIK AAS,0.0,0.48936170212765956
11,11,11,ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,13.0,0.8536434492144006,0.7253121452894438,NESTOR ABAD,0.02031084925167459,0.3380614657210401
12,12,12,ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,48.0,0.8289001608313745,0.7253121452894438,NESTOR ABAD,0.02031084925167459,0.3380614657210401
13,13,13,ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",HB,10.0,0.8309414821229741,0.7253121452894438,NESTOR ABAD,-0.008989279501462093,0.0
14,14,14,ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,48.0,0.8144253371273042,0.7253121452894438,NESTOR ABAD,-0.008989279501462093,0.0
15,15,15,ESP,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",HB,,0.8123840158357045,0.7253121452894438,NESTOR ABAD,-0.008989279501462093,0.0
16,16,16,ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,12.0,0.8783867375974266,0.7253121452894438,NESTOR ABAD,-0.00703203090075286,0.1509625126646403
17,17,17,ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,26.0,0.8845725596931833,0.7253121452894438,NESTOR ABAD,-0.00703203090075286,0.1509625126646403
18,18,18,ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PH,21.0,0.6968947173079302,0.7253121452894438,NESTOR ABAD,0.030472133903262394,0.0
19,19,19,ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,55.0,0.789682048744278,0.7253121452894438,NESTOR ABAD,0.030472133903262394,0.0
20,20,20,ESP,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",PH,,0.7195966843993566,0.7253121452894438,NESTOR ABAD,0.030472133903262394,0.0
21,21,21,ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",SR,12.0,0.8185698379314611,0.7253121452894438,NESTOR ABAD,-0.0007735233990825129,0.0
22,22,22,ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,90.0,0.7773104045527651,0.7253121452894438,NESTOR ABAD,-0.0007735233990825129,0.0
23,23,23,ESP,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",SR,,0.8536434492144006,0.7253121452894438,NESTOR ABAD,-0.0007735233990825129,0.0
24,24,24,ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,20.0,0.8494989484102438,0.7253121452894438,NESTOR ABAD,-0.010548046351129058,0.43735224586288407
25,25,25,ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT,97.0,0.835085982927131,0.7253121452894438,NESTOR ABAD,-0.010548046351129058,0.43735224586288407
26,26,26,ESP,2022 Senior European Championships,qual,"Munich, Germany",FX,86.0,0.7690832611654088,0.7945516458569807,NESTOR ABAD,0.02031084925167459,0.3380614657210401
27,27,27,ESP,2022 Senior European Championships,qual,"Munich, Germany",HB,10.0,0.8536434492144006,0.7945516458569807,NESTOR ABAD,-0.008989279501462093,0.0
28,28,28,ESP,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,10.0,0.8289001608313745,0.7945516458569807,NESTOR ABAD,-0.008989279501462093,0.0
29,29,29,ESP,2022 Senior European Championships,qual,"Munich, Germany",PB,9.0,0.8907583817889397,0.7945516458569807,NESTOR ABAD,-0.00703203090075286,0.1509625126646403
30,30,30,ESP,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,10.0,0.870097735989113,0.7945516458569807,NESTOR ABAD,-0.00703203090075286,0.1509625126646403
31,31,31,ESP,2022 Senior European Championships,qual,"Munich, Germany",PH,105.0,0.6495113200544352,0.7945516458569807,NESTOR ABAD,0.030472133903262394,0.0
32,32,32,ESP,2022 Senior European Championships,qual,"Munich, Germany",SR,23.0,0.8453544476060868,0.7945516458569807,NESTOR ABAD,-0.0007735233990825129,0.0
33,33,33,ESP,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,6.0,0.8433131263144871,0.7945516458569807,NESTOR ABAD,-0.0007735233990825129,0.0
34,34,34,ESP,2022 Senior European Championships,qual,"Munich, Germany",VT,36.0,0.8722009155016701,0.7945516458569807,NESTOR ABAD,-0.010548046351129058,0.43735224586288407
35,35,35,ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,21.0,0.8762835580848695,0.34506242905788875,NESTOR ABAD,0.02031084925167459,0.3380614657210401
36,36,36,ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",HB,66.0,0.8061981937399479,0.34506242905788875,NESTOR ABAD,-0.008989279501462093,0.0
37,37,37,ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,59.0,0.8536434492144006,0.34506242905788875,NESTOR ABAD,-0.00703203090075286,0.1509625126646403
38,38,38,ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,58.0,0.8103426945441049,0.34506242905788875,NESTOR ABAD,0.030472133903262394,0.0
39,39,39,ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",SR,33.0,0.8412718050228875,0.34506242905788875,NESTOR ABAD,-0.0007735233990825129,0.0
40,40,40,ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT,126.0,0.8165285166398614,0.34506242905788875,NESTOR ABAD,-0.010548046351129058,0.43735224586288407
41,41,41,ESP,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,24.0,0.7814549053569219,0.5187287173666288,NESTOR ABAD,0.02031084925167459,0.3380614657210401
42,42,42,ESP,2023 Senior European Championships,qual,"Antalya, Turkey",FX,94.0,0.7732277619695658,0.5187287173666288,NESTOR ABAD,0.02031084925167459,0.3380614657210401
43,43,43,ESP,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,9.0,0.8289001608313745,0.5187287173666288,NESTOR ABAD,-0.008989279501462093,0.0
44,44,44,ESP,2023 Senior European Championships,final,"Antalya, Turkey",HB,4.0,0.8453544476060868,0.5187287173666288,NESTOR ABAD,-0.008989279501462093,0.0
45,45,45,ESP,2023 Senior European Championships,qual,"Antalya, Turkey",HB,5.0,0.8494989484102438,0.5187287173666288,NESTOR ABAD,-0.008989279501462093,0.0
46,46,46,ESP,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PB,10.0,0.8556847705060002,0.5187287173666288,NESTOR ABAD,-0.00703203090075286,0.1509625126646403
47,47,47,ESP,2023 Senior European Championships,qual,"Antalya, Turkey",PB,23.0,0.8598292713101571,0.5187287173666288,NESTOR ABAD,-0.00703203090075286,0.1509625126646403
48,48,48,ESP,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PH,12.0,0.8041568724483483,0.5187287173666288,NESTOR ABAD,0.030472133903262394,0.0
49,49,49,ESP,2023 Senior European Championships,qual,"Antalya, Turkey",PH,28.0,0.8185698379314611,0.5187287173666288,NESTOR ABAD,0.030472133903262394,0.0
50,50,50,ESP,2023 Senior European Championships,qual,"Antalya, Turkey",SR,17.0,0.8515402697018434,0.5187287173666288,NESTOR ABAD,-0.0007735233990825129,0.0
51,51,51,ESP,2023 Senior European Championships,AAfinal,"Antalya, Turkey",SR,4.0,0.8453544476060868,0.5187287173666288,NESTOR ABAD,-0.0007735233990825129,0.0
